Variable Angle Spectroscopic Ellipsometric (VASE) Data
Wavelength (nm)	Psi (65.00, 70.00, 75.00°)	Delta (65.00, 70.00, 75.00°)									Model	
541.853638	29.140644	106.889168	29.483801	107.416588	20.702797	106.585579	20.988447	106.492065	9.684901	96.522453	10.200362	97.086151	
543.443481	28.236557	108.780006	28.572067	109.356895	19.551664	110.117989	19.900131	110.039757	7.892466	102.233948	8.405259	102.289391	
545.033386	27.362616	110.997147	27.703167	111.485779	18.636148	113.673439	18.824135	113.930382	6.059092	110.505463	6.628608	109.379135	
546.622925	26.551888	113.393623	26.872389	113.799103	17.525888	118.502342	17.768450	118.205368	4.349879	123.156433	4.930596	120.246925	
548.212646	25.712852	115.875511	26.076038	116.294983	16.509062	123.495644	16.743027	122.914528	3.073573	146.564011	3.465768	139.573792	
549.802368	24.948759	118.618134	25.311983	118.971497	15.476462	128.634705	15.760951	128.110687	2.566983	187.418030	2.672740	174.965775	
551.392212	24.258291	121.500832	24.578955	121.828117	14.683005	134.427032	14.837942	133.849152	3.262983	222.779037	3.106467	214.573700	
552.981628	23.501911	124.978416	23.876938	124.863525	13.837357	140.604492	13.993020	140.176666	4.709627	241.240662	4.395654	238.007355	
554.571411	22.906496	128.321350	23.206249	128.078644	13.096896	148.194504	13.247199	147.126160	6.325936	252.447174	5.984835	250.662048	
556.160767	22.215588	131.834152	22.568569	131.471329	12.502772	155.496262	12.623806	154.689667	8.114154	259.828033	7.659788	258.514282	
